Species,Accession,Rep ,Fruit_num,Date_collected,Diameter_mm,Height_mm,Diam_hgt_ratio,Fresh_weight_grams,notes
SC,19,B,04,2020-08-06,13.01,12.46,1.04,1.1919,
SC,19,B,05,2020-09-06,12.91,12.25,1.05,1.1148,
SC,19,C,01,2020-07-23,13.69,13.06,1.05,1.2597,
SC,19,C,02,2020-07-23,13.52,13.20,1.02,1.3060,
SC,19,C,03,2020-07-23,13.97,13.32,1.05,1.3459,
SC,19,C,04,2020-08-07,13.97,13.23,1.06,1.3538,
SC,19,C,05,2020-08-07,13.46,12.86,1.05,1.2522,
SC,22,A,01,2020-08-13,13.85,11.98,1.16,1.2194,
SC,22,A,02,2020-08-13,12.39,11.01,1.13,0.9165,
SC,22,A,03,2020-08-26,14.66,13.06,1.12,1.4814,
SC,22,A,04,2020-08-26,15.78,13.91,1.13,1.8616,
SC,22,A,05,2020-09-01,12.89,11.25,1.15,1.0131,
SC,22,B,01,2020-08-13,14.94,13.21,1.13,1.5666,
SC,22,B,02,2020-08-23,14.87,13.41,1.11,1.5829,
SC,22,B,03,2020-08-23,14.85,13.29,1.12,1.5631,
SC,22,B,04,2020-09-01,13.78,12.37,1.11,1.2369,
SC,22,B,05,2020-09-12,14.16,12.26,1.15,1.2948,
SC,22,C,01,2020-07-27,10.87,9.70,1.12,0.6309,
SC,22,C,02,2020-08-28,14.09,12.01,1.17,1.2573,
SC,22,C,03,2020-08-28,13.91,12.01,1.16,1.2675,
SC,22,C,04,2020-08-28,11.79,11.08,1.06,0.8471,
SC,22,C,06,2020-09-15,14.08,12.36,1.14,1.3131,
SC,31,A,01,2020-08-20,13.19,12.16,1.08,1.2102,"brown calyx, soft"
SC,31,A,02,2020-08-20,14.83,13.63,1.09,1.6129,"green calyx, slightly soft"
SC,31,A,03,2020-08-26,14.71,13.36,1.10,1.6348,
SC,31,A,04,2020-08-26,13.78,12.67,1.09,1.3193,
SC,31,A,05,2020-09-05,14.86,13.58,1.09,1.6327,
